indikator,satuan,jenis_tanaman,tahun,nilai,kategori_nilai
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1986,641878,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1986,1226727,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1986,2090568,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1986,13312119,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1987,40078195,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1987,2108604,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1987,37969591,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1987,5155680,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1987,203774,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1987,533106,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1987,1160963,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1987,2012846,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1987,14356336,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1988,41676170,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1988,2360098,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1988,39316072,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1988,6651917,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1988,284540,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1988,589265,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1988,1270418,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1988,2158629,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1988,15471111,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1989,44725582,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1989,2354258,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1989,42371324,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1989,6192512,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1989,262385,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1989,619585,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1989,1315113,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1989,2224346,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1989,17117249,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1990,45178751,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1990,2353484,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1990,42825267,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1990,6734028,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1990,273122,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1990,650560,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1990,1487433,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1990,1971466,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1990,15829635,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1991,44688247,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1991,2357313,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1991,42330934,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1991,6255906,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1991,237447,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1991,652119,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1991,1555453,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1991,2039212,"Angka Tetap"
