nama_perusahaan,komoditas,satuan,tahun,nilai
"Barisan Tropical Mining, PT","Silver","kg",2006,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2006,
"Newmont Nusa Tenggara, PT","Copper","ton",2006,
"Newmont Nusa Tenggara, PT","Gold","kg",2006,
"Newmont Nusa Tenggara, PT","Silver","kg",2006,
"Nusa Halmahera Minerals, PT","Gold","kg",2006,
"Nusa Halmahera Minerals, PT","Silver","kg",2006,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2006,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2006,
"Galuh Cempaka, PT","Diamond","crt",2006,
"Galuh Cempaka, PT","Gold","kg",2006,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2007,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2007,
"Aneka Tambang Tbk, PT","Gold","kg",2007,
"Aneka Tambang Tbk, PT","Silver","kg",2007,
"Aneka Tambang Tbk, PT","Bauxite","mt",2007,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2007,
"Timah Tbk, PT","Tin metal","ton",2007,
"Freeport Indonesia, PT","Copper","ton",2007,
"Freeport Indonesia, PT","Gold","kg",2007,
"Freeport Indonesia, PT","Silver","kg",2007,
"Koba Tin, PT","Tin metal","ton",2007,
"International Nickel Ind, PT","Nickel","ton",2007,
"Gunung Kikara Mining, PT","Tin metal","ton",2007,
"Karimun Granite, PT","Granite","ton",2007,30049
"Lusang Mining, PT","Gold","kg",2007,
"Lusang Mining, PT","Silver","kg",2007,
"Ampalit Mas Perdana, PT","Gold","kg",2007,
"Ampalit Mas Perdana, PT","Silver","kg",2007,
"Monterado Mas Mining, PT","Gold","kg",2007,
"Monterado Mas Mining, PT","Silver","kg",2007,
"Prima Lirang Mining, PT","Gold","kg",2007,
"Prima Lirang Mining, PT","Silver","kg",2007,
"Kelian Equatorial Mining, PT","Gold","kg",2007,
"Kelian Equatorial Mining, PT","Silver","kg",2007,
"Indo Muro Kencana, PT","Gold","kg",2007,
"Indo Muro Kencana, PT","Silver","kg",2007,
"Newmont Minahasa Raya, PT","Gold","kg",2007,
"Newmont Minahasa Raya, PT","Silver","kg",2007,
